POS	CRC01-P24NNS14	CRC01-P24NNS4	CRC01-P24NNS8	CRC01-P24NS13	CRC01-P24NS14	CRC01-P24NS16	CRC01-P24NS17	CRC01-P24NS18	CRC01-P24NS19	CRC01-P24NS1	CRC01-P24NS3	CRC01-P24NS5	CRC01-P39TNS3	CRC01-P39TS11	CRC01-P39TS13	CRC01-P39TS15	CRC01-P39TS4	CRC01-P39TS8	CRC01-P39TS9	CRC01.P42.TS.17	CRC01.P42.TS.2	CRC01.P42.TS.3	CRC01-P59NNS11	CRC01-P59NNS15	CRC01-P59NNS16	CRC01-P59NNS18	CRC01-P59NNS1	CRC01-P59NNS5	CRC01-P59NNS9	CRC01-P59NS10	CRC01-P59NS11	CRC01-P59NS18	CRC01-P59NS7	CRC01-P87NNS15	CRC01-P87NNS17	CRC01-P87NNS5	CRC01-P87NNS9	CRC01-P87NS10	CRC01-P87NS12	CRC01-P87NS15	CRC01-P87NS9	CRC01-P92NNS18	CRC1_P24_Lgr5_14	CRC1_P24_Lgr5_19	CRC1_P87_Lgr5_12	CRC1_P87_Lgr5_20
1	1	6	5	14	2	1	1	2	4	5	3	6	96	266	424	27	4	71	388	146	84	140	10	13	3	1	4	11	4	14	1	201	67	43	0	13	0	2	0	5	4	158	2	22	95	0
2	1	6	5	14	2	1	2	2	4	5	3	6	101	265	424	27	4	72	395	144	87	143	10	13	3	1	3	11	4	15	1	198	68	42	0	13	0	2	0	5	4	160	2	22	95	0
3	1	6	5	14	1	1	2	2	4	5	3	6	101	265	427	27	4	70	390	145	85	140	10	13	3	1	4	11	4	15	1	195	68	43	0	14	0	2	0	5	4	159	2	22	95	0
4	1	5	5	14	1	1	2	2	4	5	3	6	99	261	424	27	4	72	389	145	84	140	10	13	3	1	3	11	4	15	1	197	69	44	0	14	0	2	0	5	4	158	2	22	96	0
5	1	6	5	14	1	1	2	2	4	5	3	6	96	260	425	27	4	72	382	146	82	141	10	13	3	1	4	11	4	15	1	196	70	44	0	14	0	2	0	5	4	156	2	21	98	0
6	1	6	5	14	1	1	2	2	4	5	2	6	100	258	419	27	4	72	385	145	82	140	8	13	3	1	3	11	4	15	1	196	70	42	0	13	0	2	0	5	4	154	2	21	98	0
7	1	6	5	14	1	1	2	2	4	5	3	6	99	252	414	26	4	70	375	144	83	136	8	13	3	1	4	11	4	15	1	191	71	42	0	14	0	2	0	5	4	152	2	21	98	0
8	1	6	5	14	1	1	2	2	3	5	2	6	99	258	419	26	4	69	372	144	83	136	8	13	3	1	4	11	4	15	1	194	70	42	0	14	0	2	0	5	4	155	2	21	97	0
9	0	6	5	14	1	1	2	2	3	5	3	6	95	250	427	25	3	69	379	144	85	133	8	13	3	1	4	11	4	15	1	193	70	42	0	14	0	2	0	5	4	153	3	21	98	0
10	1	6	5	14	1	1	2	2	3	5	3	6	96	254	428	26	4	71	380	141	84	135	8	13	3	1	4	11	4	15	1	188	69	41	0	14	0	2	0	5	4	151	3	21	99	0
11	1	6	5	13	1	1	2	3	3	5	3	5	96	251	427	26	4	73	376	143	83	134	8	13	3	1	3	11	4	15	1	195	69	41	0	14	0	2	0	5	4	152	3	21	100	0
12	1	6	5	14	1	1	2	3	3	5	3	5	93	252	423	26	4	72	367	142	81	136	8	13	3	1	4	11	4	15	1	189	69	42	0	15	0	2	0	5	4	153	3	21	100	0
13	1	6	5	14	1	1	2	3	3	5	3	5	95	250	418	26	4	71	363	140	82	135	8	12	3	1	4	11	5	15	1	190	69	40	0	15	0	2	0	5	4	149	3	21	99	0
14	1	6	5	13	1	1	2	3	3	5	3	5	92	247	426	26	4	71	368	141	83	131	8	12	3	1	4	11	5	15	1	194	67	41	0	14	0	2	0	5	4	152	2	21	99	0
15	1	6	5	13	1	1	2	3	3	5	3	5	92	247	424	25	4	71	360	142	79	133	8	12	3	1	4	11	5	15	1	189	68	41	0	15	0	2	0	5	4	152	3	21	97	0
16	1	6	5	13	1	1	2	3	3	5	3	5	89	243	423	25	4	72	369	141	80	134	8	11	3	1	4	11	5	15	1	189	68	42	0	14	0	2	0	5	4	154	3	21	96	0
17	1	6	5	13	1	1	2	3	3	5	3	5	92	243	420	25	4	71	360	139	79	135	8	12	3	1	4	11	5	15	1	189	68	42	0	14	0	2	0	5	4	151	3	21	96	0
18	1	6	5	13	1	1	2	3	3	5	3	5	90	237	419	25	4	71	356	140	81	132	8	12	3	1	4	11	5	15	1	186	65	42	0	13	0	2	0	5	4	150	3	21	93	0
19	1	6	5	13	1	1	2	2	3	5	3	5	88	243	423	25	4	68	362	139	80	135	8	11	3	1	4	11	5	15	1	190	67	42	0	14	0	2	0	5	4	152	3	21	96	0
20	1	6	5	13	1	1	2	3	3	5	3	5	91	246	419	31	9	68	357	136	78	135	8	11	3	1	4	11	5	15	1	180	68	42	0	14	0	2	0	5	5	149	3	21	96	0
21	1	4	5	13	1	1	2	3	3	5	3	5	87	241	415	38	10	68	351	133	83	133	7	11	3	1	4	11	5	14	1	178	65	45	0	14	0	2	0	5	5	151	3	21	94	0
22	0	4	3	8	0	1	0	1	3	3	0	3	64	176	328	35	12	58	291	100	68	102	5	5	0	0	3	7	4	7	0	140	46	40	0	16	0	1	0	3	2	137	2	16	81	0
23	0	4	3	9	0	2	0	1	3	3	0	3	69	207	335	75	27	78	316	102	66	103	5	5	0	0	3	8	3	8	0	143	51	41	1	16	0	1	0	4	6	139	4	17	78	1
24	0	6	4	10	1	2	1	2	4	4	1	3	74	243	351	145	69	100	365	111	71	108	5	5	0	1	4	8	6	8	3	146	58	51	2	25	1	2	1	7	12	143	5	18	84	4
25	0	7	4	10	1	2	2	2	4	4	1	3	78	259	353	154	78	108	366	110	74	113	6	6	0	1	4	7	7	9	4	145	60	55	2	28	1	2	1	8	15	144	4	19	86	5
26	1	14	7	16	3	5	5	7	6	13	2	7	182	664	604	487	301	335	664	154	105	174	16	14	3	5	14	14	12	18	11	250	108	108	5	58	3	6	4	19	52	187	11	31	145	29
27	1	14	7	16	3	5	5	7	6	13	2	7	187	674	606	496	306	342	679	154	105	175	16	14	3	5	14	15	13	18	11	247	110	108	5	59	3	6	4	20	52	194	12	31	147	31
28	1	14	7	16	3	5	5	7	6	13	2	7	185	673	597	505	308	342	676	156	101	176	18	15	3	5	14	15	13	18	11	240	109	102	5	59	3	6	4	20	49	186	12	32	145	31
29	1	14	7	17	3	5	5	7	6	13	2	7	192	687	627	515	313	353	717	157	106	177	18	15	3	5	14	15	13	18	11	249	109	108	5	59	3	7	4	20	55	192	11	33	150	32
30	1	14	7	17	3	5	5	7	5	12	2	7	190	687	619	520	319	354	717	158	107	178	18	15	3	5	14	15	13	18	11	247	111	111	5	61	3	7	4	21	55	190	12	33	149	33
31	1	14	7	16	3	5	5	7	5	11	2	7	194	696	623	516	324	355	712	159	108	178	18	14	3	5	14	15	13	18	11	250	111	110	5	60	3	7	4	20	55	188	12	32	150	33
32	1	14	7	17	3	4	5	7	5	11	2	7	193	681	602	522	322	352	711	157	103	175	18	15	3	5	14	15	12	18	11	243	111	106	5	61	3	7	4	22	56	183	11	32	147	33
33	1	14	7	17	3	5	5	7	5	11	2	7	195	695	623	524	324	356	719	157	106	175	18	14	3	5	14	14	13	18	11	248	113	111	6	61	3	7	4	22	56	185	12	32	152	34
34	1	14	8	16	3	5	5	7	5	11	2	7	193	698	625	523	329	357	708	159	107	171	18	15	3	5	14	15	13	18	12	237	115	111	6	61	3	7	4	22	56	182	12	32	149	35
35	1	14	8	17	3	5	5	7	5	11	2	6	192	705	641	534	329	363	738	160	108	174	18	16	3	6	14	15	13	17	12	243	114	113	6	60	3	7	4	22	57	187	12	32	150	35
36	1	14	8	17	3	5	5	7	5	11	2	7	197	712	656	528	332	362	747	159	109	176	18	16	3	6	14	15	13	18	12	247	115	113	6	63	3	7	4	23	57	189	11	33	150	36
37	1	14	8	17	3	5	5	7	5	11	2	8	198	720	652	540	336	366	754	159	109	176	18	16	3	6	14	15	13	18	12	245	119	116	6	62	3	7	4	22	58	190	11	33	150	37
38	1	14	8	17	3	5	5	7	5	11	2	8	195	711	644	530	336	364	742	159	108	178	18	16	3	6	14	15	12	18	12	240	120	113	6	63	3	7	4	21	58	182	12	33	152	38
39	1	15	7	17	3	5	5	7	5	11	2	7	197	710	639	537	338	366	740	157	109	174	18	16	3	6	14	15	13	18	12	242	122	113	6	64	3	7	4	20	58	178	11	33	151	38
40	1	15	8	15	3	5	5	7	5	11	2	7	200	719	637	545	346	368	746	156	109	178	19	16	3	6	14	15	13	18	13	239	122	117	6	64	3	7	4	23	59	181	12	33	150	38
41	1	15	8	15	3	5	5	7	5	11	2	7	196	714	640	543	346	370	742	157	109	177	19	16	3	6	14	15	13	18	13	238	118	115	6	65	3	7	4	23	59	185	11	33	148	38
42	1	15	6	15	3	5	5	7	5	11	2	7	198	710	621	548	349	369	738	157	109	173	20	16	3	6	14	15	14	18	13	237	119	116	6	66	3	7	4	23	60	183	12	32	146	38
43	1	15	6	15	3	5	5	6	6	11	2	7	203	721	640	547	352	365	742	159	109	172	20	16	3	6	14	15	14	18	13	235	120	117	6	66	3	8	4	23	64	181	12	34	146	38
44	1	15	6	14	3	5	5	7	6	11	2	7	204	718	643	550	354	371	743	157	108	176	20	15	3	6	14	15	14	18	13	235	120	117	6	67	3	8	4	23	64	177	12	34	147	39
